Date,Open,High,Low,Close,Volume
2023-10-10 05:00:00,1863.75,1864.64,1862.31,1862.97,5824
2023-10-10 06:00:00,1862.97,1863.75,1862.37,1862.46,4983
2023-10-10 07:00:00,1862.47,1862.54,1860.83,1860.87,3410
2023-10-10 08:00:00,1860.87,1862.18,1859.84,1860.8,4866
2023-10-10 09:00:00,1860.81,1862.04,1855.18,1856.56,13094
2023-10-10 10:00:00,1856.54,1857.99,1855.27,1857.37,11342
2023-10-10 11:00:00,1857.39,1859.8,1855.42,1858.56,11444
2023-10-10 12:00:00,1858.56,1859.63,1857.59,1858.32,7697
2023-10-10 13:00:00,1858.32,1858.42,1856.37,1856.71,6359
2023-10-10 14:00:00,1856.71,1857.45,1854.88,1857.18,7362
2023-10-10 15:00:00,1857.19,1857.71,1853.0,1854.54,16716
2023-10-10 16:00:00,1854.54,1857.61,1853.1,1857.49,21288
2023-10-10 17:00:00,1857.47,1858.84,1853.33,1856.53,19881
2023-10-10 18:00:00,1856.55,1862.33,1856.01,1861.3,14868
2023-10-10 19:00:00,1861.33,1862.53,1858.39,1861.92,11305
2023-10-10 20:00:00,1861.97,1862.77,1858.24,1858.5,10740
2023-10-10 21:00:00,1858.49,1860.21,1858.1,1859.38,5578
2023-10-10 22:00:00,1859.41,1860.41,1858.37,1860.14,4542
2023-10-10 23:00:00,1860.14,1860.77,1859.64,1860.42,2033
2023-10-11 01:00:00,1859.96,1860.45,1858.88,1859.81,963
2023-10-11 02:00:00,1859.8,1860.7,1859.64,1859.67,1529
2023-10-11 03:00:00,1859.66,1862.13,1859.54,1860.99,3889
2023-10-11 04:00:00,1860.95,1861.86,1860.29,1861.65,6392
2023-10-11 05:00:00,1861.65,1862.05,1859.78,1861.48,3826
2023-10-11 06:00:00,1861.48,1861.5,1859.75,1860.09,3848
2023-10-11 07:00:00,1860.1,1860.67,1859.44,1859.73,2096
2023-10-11 08:00:00,1859.73,1860.64,1858.61,1859.46,3939
2023-10-11 09:00:00,1859.46,1863.73,1858.81,1862.56,8200
2023-10-11 10:00:00,1862.54,1868.18,1862.43,1867.99,12959
2023-10-11 11:00:00,1867.96,1869.87,1866.91,1869.56,10796
2023-10-11 12:00:00,1869.57,1871.1,1869.04,1870.48,7669
2023-10-11 13:00:00,1870.47,1874.76,1869.9,1873.97,7319
2023-10-11 14:00:00,1873.97,1874.6,1870.89,1871.0,8222
2023-10-11 15:00:00,1870.99,1873.04,1867.33,1872.83,21169
2023-10-11 16:00:00,1872.84,1875.06,1868.17,1872.21,23258
2023-10-11 17:00:00,1872.21,1872.46,1869.06,1871.18,20400
2023-10-11 18:00:00,1871.18,1873.7,1869.52,1873.04,13571
2023-10-11 19:00:00,1873.05,1877.2,1872.87,1874.34,8555
2023-10-11 20:00:00,1874.35,1874.76,1870.81,1871.98,9288
2023-10-11 21:00:00,1872.05,1873.4,1870.97,1872.46,8128
2023-10-11 22:00:00,1872.46,1874.26,1872.4,1873.61,5295
2023-10-11 23:00:00,1873.61,1874.55,1873.41,1874.27,1804
2023-10-12 01:00:00,1874.63,1875.36,1873.9,1874.64,1212
2023-10-12 02:00:00,1874.62,1875.7,1874.59,1875.28,774
2023-10-12 03:00:00,1875.28,1876.65,1874.76,1875.42,3428
2023-10-12 04:00:00,1875.43,1878.75,1874.47,1877.45,6194
2023-10-12 05:00:00,1877.46,1878.03,1875.64,1876.83,4614
2023-10-12 06:00:00,1876.82,1878.12,1876.73,1877.72,3228
2023-10-12 07:00:00,1877.72,1879.12,1876.8,1878.91,2102
2023-10-12 08:00:00,1878.9,1880.13,1878.4,1880.11,3801
2023-10-12 09:00:00,1880.16,1882.63,1878.6,1882.16,7362
2023-10-12 10:00:00,1882.15,1882.67,1878.75,1878.88,8364
2023-10-12 11:00:00,1878.87,1881.54,1878.65,1880.34,7192
2023-10-12 12:00:00,1880.35,1882.11,1879.59,1880.94,5268
2023-10-12 13:00:00,1880.97,1882.73,1880.62,1881.4,5299
2023-10-12 14:00:00,1881.39,1884.51,1881.17,1883.56,6697
2023-10-12 15:00:00,1883.58,1885.12,1875.3,1879.06,25957
2023-10-12 16:00:00,1879.05,1880.05,1872.86,1873.82,26357
2023-10-12 17:00:00,1873.8,1876.65,1871.17,1872.18,20688
2023-10-12 18:00:00,1872.19,1873.4,1870.68,1872.34,13950
2023-10-12 19:00:00,1872.35,1873.67,1870.99,1871.44,9484
2023-10-12 20:00:00,1871.45,1872.04,1868.02,1868.98,14256
2023-10-12 21:00:00,1868.96,1870.68,1867.91,1868.44,7925
2023-10-12 22:00:00,1868.44,1870.12,1868.16,1868.38,4902
2023-10-12 23:00:00,1868.36,1869.06,1868.32,1868.73,1797
2023-10-13 01:00:00,1869.07,1871.17,1868.94,1869.7,1537
2023-10-13 02:00:00,1869.71,1871.21,1869.66,1870.58,851
2023-10-13 03:00:00,1870.58,1872.65,1870.13,1872.59,3843
2023-10-13 04:00:00,1872.59,1873.06,1871.37,1872.0,4448
2023-10-13 05:00:00,1872.0,1873.64,1871.64,1873.41,3778
2023-10-13 06:00:00,1873.42,1874.03,1872.64,1873.7,2244
2023-10-13 07:00:00,1873.65,1876.81,1873.6,1876.35,3353
2023-10-13 08:00:00,1876.35,1878.07,1876.01,1877.08,4063
2023-10-13 09:00:00,1877.09,1878.02,1875.71,1876.97,7356
2023-10-13 10:00:00,1877.0,1883.17,1876.79,1882.16,10087
2023-10-13 11:00:00,1882.14,1884.97,1882.01,1883.84,8343
2023-10-13 12:00:00,1883.82,1888.21,1882.44,1887.6,8279
2023-10-13 13:00:00,1887.61,1889.93,1886.66,1887.63,8048
2023-10-13 14:00:00,1887.62,1899.93,1887.39,1896.52,12298
2023-10-13 15:00:00,1896.52,1919.22,1896.47,1913.37,27706
2023-10-13 16:00:00,1913.42,1913.45,1905.57,1910.64,28102
2023-10-13 17:00:00,1910.66,1921.03,1907.5,1920.84,27850
2023-10-13 18:00:00,1920.85,1923.2,1917.15,1922.99,17509
2023-10-13 19:00:00,1923.04,1927.5,1922.44,1927.17,11821
2023-10-13 20:00:00,1927.18,1929.92,1926.84,1928.35,9937
2023-10-13 21:00:00,1928.32,1930.79,1927.68,1928.69,6068
2023-10-13 22:00:00,1928.7,1928.93,1927.79,1928.39,3838
2023-10-13 23:00:00,1928.39,1932.41,1928.09,1932.41,1830
2023-10-16 01:00:00,1925.94,1927.68,1921.11,1924.39,3568
2023-10-16 02:00:00,1924.43,1926.42,1921.53,1925.76,4644
2023-10-16 03:00:00,1925.76,1926.0,1921.43,1921.7,4655
2023-10-16 04:00:00,1921.7,1923.52,1920.38,1920.5,4953
2023-10-16 05:00:00,1920.5,1921.51,1918.43,1920.49,3420
2023-10-16 06:00:00,1920.48,1920.52,1918.07,1920.08,3269
2023-10-16 07:00:00,1920.07,1920.43,1919.03,1920.14,2054
2023-10-16 08:00:00,1920.16,1920.18,1914.28,1914.98,4190
2023-10-16 09:00:00,1914.88,1915.84,1909.23,1909.97,9361
2023-10-16 10:00:00,1909.95,1912.34,1908.2,1911.43,10811
2023-10-16 11:00:00,1911.45,1913.56,1909.95,1911.63,8451
2023-10-16 12:00:00,1911.61,1916.54,1911.24,1916.19,6545
2023-10-16 13:00:00,1916.19,1918.39,1914.49,1918.0,5521
2023-10-16 14:00:00,1917.98,1918.28,1914.78,1915.63,6773
2023-10-16 15:00:00,1915.63,1924.63,1914.62,1918.7,17688
2023-10-16 16:00:00,1918.72,1921.27,1914.42,1917.96,17659
2023-10-16 17:00:00,1917.96,1920.38,1916.24,1918.16,16317
2023-10-16 18:00:00,1918.16,1922.35,1917.98,1921.48,9665
2023-10-16 19:00:00,1921.49,1922.04,1920.34,1921.91,5739
2023-10-16 20:00:00,1921.92,1922.8,1918.57,1919.16,5756
2023-10-16 21:00:00,1919.18,1919.7,1918.7,1919.07,2704
2023-10-16 22:00:00,1919.09,1920.73,1917.86,1918.97,3411
2023-10-16 23:00:00,1918.96,1920.06,1918.91,1920.06,1100
2023-10-17 01:00:00,1919.98,1920.96,1918.79,1918.87,1659
2023-10-17 02:00:00,1918.86,1921.78,1918.78,1919.41,1447
