Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
235,4535,4536,2169.35,2165.1264285714287,2165.1264285714287,2177.7971428571423,-1196.2596778570837,203.72039214285715,-0.0023465400761912185,2024-03-12 14:00:00,2024-03-12 15:00:00,0 days 01:00:00,ob
289,4537,4538,2158.43,2162.0,2155.036964285714,2165.2160714285715,782.0091460000474,249.72085399999997,0.0012536491801913108,2024-03-12 16:00:00,2024-03-12 17:00:00,0 days 01:00:00,ob
-275,4563,4574,2175.95,2168.7574999999997,2179.54625,2168.7574999999997,1738.97858750003,238.9589125,0.0029061138812932776,2024-03-13 19:00:00,2024-03-14 07:00:00,0 days 12:00:00,ob
166,4724,4726,2159.6,2163.14,2153.534821428572,2171.730357142856,444.12503199999395,143.514968,0.001238864604556392,2024-03-22 19:00:00,2024-03-22 21:00:00,0 days 02:00:00,ob
-114,4742,4762,2172.55,2181.367142857143,2181.367142857143,2154.915714285715,-1104.4235965714106,99.26931085714287,-0.004459242036185239,2024-03-25 14:00:00,2024-03-26 11:00:00,0 days 21:00:00,ob
194,4768,4785,2174.1,2184.401785714285,2168.9491071428574,2184.401785714285,1829.4365592855681,169.10986928571424,0.004337466242188544,2024-03-26 17:00:00,2024-03-27 11:00:00,0 days 18:00:00,ob
192,4974,4975,2346.8,2341.514107142857,2341.514107142857,2357.3717857142865,-1194.9226902857713,180.03126171428573,-0.0026519327077602537,2024-04-09 17:00:00,2024-04-09 18:00:00,0 days 01:00:00,ob
-196,5023,5024,2352.4,2356.27,2357.5225,2342.155,-943.0998639999787,184.57986400000001,-0.002045457405203255,2024-04-11 20:00:00,2024-04-11 21:00:00,0 days 01:00:00,ob
60,5046,5066,2346.85,2330.348392857143,2330.348392857143,2379.8532142857134,-1046.222809285691,56.126380714285716,-0.007429979257910916,2024-04-12 20:00:00,2024-04-15 17:00:00,2 days 21:00:00,ob
35,5067,5121,2349.4,2367.89,2321.42625,2405.3475000000003,614.1289699999924,33.02103,0.007468520473312324,2024-04-15 18:00:00,2024-04-18 03:00:00,2 days 09:00:00,sweep
-70,5131,5145,2382.91,2397.0916071428574,2397.0916071428574,2354.546785714285,-1059.632522500025,66.9200225,-0.006352572050260421,2024-04-18 13:00:00,2024-04-19 04:00:00,0 days 15:00:00,ob
-145,5226,5228,2324.5,2331.2769642857143,2331.2769642857143,2310.9460714285715,-1117.677353392853,135.01753196428572,-0.0033160334173247133,2024-04-24 16:00:00,2024-04-24 18:00:00,0 days 02:00:00,ob
-59,5229,5250,2322.52,2339.111785714286,2339.111785714286,2289.7264285714286,-1033.9226122142927,55.007255071428574,-0.007545300824719925,2024-04-24 19:00:00,2024-04-25 17:00:00,0 days 22:00:00,sweep
238,5273,5276,2331.38,2339.452857142858,2327.343571428571,2339.452857142858,1699.0083560002238,222.3316440000001,0.003062002149554886,2024-04-26 17:00:00,2024-04-26 20:00:00,0 days 03:00:00,ob
56,5311,5315,2320.66,2314.83,2303.318392857143,2355.3432142857137,-378.3974879999959,51.917488000000006,-0.0029117139089741852,2024-04-30 09:00:00,2024-04-30 13:00:00,0 days 04:00:00,ob
-56,5387,5404,2304.7,2321.9814285714288,2321.9814285714288,2270.077142857142,-1019.5788320000203,51.818832,-0.007899841565992638,2024-05-03 16:00:00,2024-05-06 10:00:00,2 days 18:00:00,sweep
-212,5409,5410,2322.95,2327.4951785714284,2327.4951785714284,2313.8596428571427,-1160.7567327142813,197.17887557142856,-0.0023570320528391972,2024-05-06 15:00:00,2024-05-06 16:00:00,0 days 01:00:00,ob
297,5427,5428,2320.42,2317.1860714285717,2317.1860714285717,2326.797857142856,-1235.9505863570773,275.4738006428572,-0.0017934036880022219,2024-05-07 10:00:00,2024-05-07 11:00:00,0 days 01:00:00,sweep
201,5432,5433,2311.72,2321.070357142857,2307.044821428571,2321.070357142857,1693.1836133571783,186.23817235714287,0.0036439530182845762,2024-05-07 15:00:00,2024-05-07 16:00:00,0 days 01:00:00,ob
203,5452,5453,2307.27,2310.84,2302.593214285714,2316.6835714285717,537.2147340000332,187.49526600000002,0.0011469736961863728,2024-05-08 12:00:00,2024-05-08 13:00:00,0 days 01:00:00,sweep
-255,5457,5459,2316.83,2320.6003571428573,2320.6003571428573,2309.289285714285,-1197.9500196429208,236.50894821428574,-0.00202770303142043,2024-05-08 17:00:00,2024-05-08 19:00:00,0 days 02:00:00,ob
-199,5478,5479,2321.12,2326.71,,2311.5839285714283,-1297.393634000029,184.983634,-0.002808801785345015,2024-05-09 15:00:00,2024-05-09 16:00:00,0 days 01:00:00,ob
37,5594,5625,2375.47,2425.0735714285706,2350.6682142857144,2425.0735714285706,1799.8081204285493,35.52402242857143,0.020477405614166895,2024-05-16 16:00:00,2024-05-20 01:00:00,3 days 09:00:00,ob
127,5687,5691,2386.63,2379.1071428571427,2379.1071428571427,2401.675714285715,-1076.4525805714673,121.04972342857143,-0.0035514531248785966,2024-05-22 17:00:00,2024-05-22 21:00:00,0 days 04:00:00,ob
219,5794,5797,2345.17,2340.8621428571428,2340.8621428571428,2353.7857142857147,-1148.668922142892,205.24820785714286,-0.002236538746201222,2024-05-29 11:00:00,2024-05-29 14:00:00,0 days 03:00:00,ob
-260,5845,5846,2356.97,2348.35,2360.552142857143,2349.8057142857137,1996.5233599999715,244.67664000000002,0.0032579693419940714,2024-05-31 16:00:00,2024-05-31 17:00:00,0 days 01:00:00,ob
-150,5862,5865,2326.19,2332.5446428571427,2332.5446428571427,2313.480714285715,-1092.9584678571055,139.7620392857143,-0.0031323278776515012,2024-06-03 10:00:00,2024-06-03 13:00:00,0 days 03:00:00,ob
-59,5869,5924,2342.34,2355.04,2358.173035714286,2310.6739285714284,-804.7290839999893,55.429084,-0.005823012884551251,2024-06-03 17:00:00,2024-06-06 03:00:00,2 days 10:00:00,ob
220,6009,6013,2308.36,2316.8357142857144,2304.122142857143,2316.8357142857144,1661.1485314285692,203.50861142857144,0.00327101281553022,2024-06-11 19:00:00,2024-06-11 23:00:00,0 days 04:00:00,ob
160,6055,6067,2297.51,2309.3275000000003,2291.60125,2309.3275000000003,1743.3812000000175,147.41880000000003,0.0047425832749367946,2024-06-13 19:00:00,2024-06-14 08:00:00,0 days 13:00:00,ob
106,6188,6189,2343.58,2334.5,2334.5,2361.74,-1061.6552959999922,99.175296,-0.004273639474649834,2024-06-21 16:00:00,2024-06-21 17:00:00,0 days 01:00:00,ob
-271,6279,6280,2318.98,2322.77,,2311.923928571429,-1278.6728499999901,251.58285,-0.0020346661032005697,2024-06-27 15:00:00,2024-06-27 16:00:00,0 days 01:00:00,ob
-366,6298,6298,2327.17,2329.770892857143,2329.770892857143,2322.0282142857145,-1292.8148590713904,340.88807335714284,-0.0015178440061164248,2024-06-28 11:00:00,2024-06-28 11:00:00,0 days 00:00:00,sweep
147,6320,6327,2326.55,2320.2355357142856,2320.2355357142856,2339.1789285714294,-1064.8417447500492,136.61549475,-0.0031135464068502428,2024-07-01 10:00:00,2024-07-01 17:00:00,0 days 07:00:00,sweep
188,6329,6347,2326.99,2322.108214285714,2322.108214285714,2336.7535714285714,-1092.5818071428728,174.80609285714286,-0.002497477581400363,2024-07-01 19:00:00,2024-07-02 14:00:00,0 days 19:00:00,ob
95,6349,6366,2327.43,2346.5182142857143,2317.9458928571426,2346.5182142857143,1724.5753410714449,88.80501607142858,0.007799772557222964,2024-07-02 16:00:00,2024-07-03 10:00:00,0 days 18:00:00,sweep
137,6389,6415,2356.3,2369.8642857142854,2349.652857142857,2369.8642857142854,1728.8102414285056,129.49690142857145,0.005355452555762228,2024-07-04 10:00:00,2024-07-05 15:00:00,1 days 05:00:00,sweep
